Iteration,Move,Objective
0,Initial Greedy2,1057697.3375000001
1,Move1,1054292.2125000001
2,Move1,1051697.5875000001
3,Move1,1050879.7875
4,Move1,1050838.4625000001
5,Move1,1048558.6875000001
6,Move1,1048485.3875000001
7,Move3,1035790.1625000001
8,Move1,1034283.1625000001
9,Move1,1034031.1625000001
10,Move2,1028316.5125000001
11,Move3,1027045.1125
12,Move2,1023366.2000000001
13,Move3,1022978.65
14,Move1,1018379.55
15,Move1,1016871.1875
16,Move3,1016804.6375
17,Move1,1014511.1
18,Move1,1013143.7999999999
19,Move1,1011916.0249999999
20,Move2,1007344.7749999999
21,Move5,1007058.7874999999
22,Move5,1006879.3874999998
