File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,FEASIBLE,1476736.2500,0.0012,10,Greedy1
cap42.txt,FEASIBLE,1521736.2500,0.0012,10,Greedy1
cap43.txt,FEASIBLE,1566736.2500,0.0014,10,Greedy1
cap44.txt,FEASIBLE,1634236.2500,0.0013,10,Greedy1
cap61.txt,FEASIBLE,1106816.9250,0.0012,5,Greedy1
cap62.txt,FEASIBLE,1126816.9250,0.0012,5,Greedy1
cap63.txt,FEASIBLE,1146816.9250,0.0012,5,Greedy1
cap64.txt,FEASIBLE,1176816.9250,0.0014,5,Greedy1
cap71.txt,FEASIBLE,1248142.9000,0.0010,1,Greedy1
cap72.txt,FEASIBLE,1248142.9000,0.0010,1,Greedy1
cap73.txt,FEASIBLE,1248142.9000,0.0010,1,Greedy1
cap74.txt,FEASIBLE,1248142.9000,0.0010,1,Greedy1
cap81.txt,FEASIBLE,1101466.7000,0.0026,10,Greedy1
cap82.txt,FEASIBLE,1146466.7000,0.0028,10,Greedy1
cap83.txt,FEASIBLE,1191466.7000,0.0025,10,Greedy1
cap84.txt,FEASIBLE,1258966.7000,0.0026,10,Greedy1
cap91.txt,FEASIBLE,1034348.3250,0.0022,5,Greedy1
cap92.txt,FEASIBLE,1054348.3250,0.0023,5,Greedy1
cap93.txt,FEASIBLE,1074348.3250,0.0023,5,Greedy1
cap94.txt,FEASIBLE,1104348.3250,0.0023,5,Greedy1
cap101.txt,FEASIBLE,1248142.9000,0.0020,1,Greedy1
cap102.txt,FEASIBLE,1248142.9000,0.0020,1,Greedy1
cap103.txt,FEASIBLE,1248142.9000,0.0019,1,Greedy1
cap104.txt,FEASIBLE,1248142.9000,0.0020,1,Greedy1
cap111.txt,FEASIBLE,1101466.7000,0.0083,10,Greedy1
cap112.txt,FEASIBLE,1146466.7000,0.0085,10,Greedy1
cap113.txt,FEASIBLE,1191466.7000,0.0083,10,Greedy1
cap114.txt,FEASIBLE,1258966.7000,0.0086,10,Greedy1
cap121.txt,FEASIBLE,1034348.3250,0.0077,5,Greedy1
cap122.txt,FEASIBLE,1054348.3250,0.0081,5,Greedy1
cap123.txt,FEASIBLE,1074348.3250,0.0077,5,Greedy1
cap124.txt,FEASIBLE,1104348.3250,0.0076,5,Greedy1
cap131.txt,FEASIBLE,1248142.9000,0.0068,1,Greedy1
cap132.txt,FEASIBLE,1248142.9000,0.0064,1,Greedy1
cap133.txt,FEASIBLE,1248142.9000,0.0065,1,Greedy1
cap134.txt,FEASIBLE,1248142.9000,0.0066,1,Greedy1
cap51.txt,FEASIBLE,1572491.5750,0.0013,5,Greedy1
