File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,FEASIBLE,1191275.7375,0.0017,13,VND3
cap42.txt,FEASIBLE,1251550.6750,0.0017,11,VND3
cap43.txt,FEASIBLE,1300377.9750,0.0019,11,VND3
cap44.txt,FEASIBLE,1389123.9125,0.0022,10,VND3
cap61.txt,FEASIBLE,934199.1375,0.0010,11,VND3
cap62.txt,FEASIBLE,981649.3500,0.0033,9,VND3
cap63.txt,FEASIBLE,1017711.6000,0.0032,8,VND3
cap64.txt,FEASIBLE,1069660.9375,0.0023,6,VND3
cap71.txt,FEASIBLE,934199.1375,0.0012,11,VND3
cap72.txt,FEASIBLE,977799.4000,0.0011,9,VND3
cap73.txt,FEASIBLE,1012476.9750,0.0005,4,VND3
cap74.txt,FEASIBLE,1034976.9750,0.0005,4,VND3
cap81.txt,FEASIBLE,945725.1750,0.0028,15,VND3
cap82.txt,FEASIBLE,1018215.0375,0.0039,13,VND3
cap83.txt,FEASIBLE,1076486.1500,0.0034,11,VND3
cap84.txt,FEASIBLE,1160315.9375,0.0048,12,VND3
cap91.txt,FEASIBLE,802191.2750,0.0016,15,VND3
cap92.txt,FEASIBLE,858697.2500,0.0031,11,VND3
cap93.txt,FEASIBLE,915156.3875,0.0018,8,VND3
cap94.txt,FEASIBLE,964590.1750,0.0017,7,VND3
cap101.txt,FEASIBLE,802191.2750,0.0014,15,VND3
cap102.txt,FEASIBLE,855971.7500,0.0016,11,VND3
cap103.txt,FEASIBLE,894008.1375,0.0014,7,VND3
cap104.txt,FEASIBLE,934586.9750,0.0007,4,VND3
cap111.txt,FEASIBLE,947643.7000,0.0043,15,VND3
cap112.txt,FEASIBLE,1007344.7750,0.0084,13,VND3
cap113.txt,FEASIBLE,1081942.3125,0.0063,11,VND3
cap114.txt,FEASIBLE,1153368.4750,0.0084,11,VND3
cap121.txt,FEASIBLE,798379.4875,0.0032,14,VND3
cap122.txt,FEASIBLE,855488.3750,0.0048,11,VND3
cap123.txt,FEASIBLE,914019.6750,0.0043,9,VND3
cap124.txt,FEASIBLE,967130.8250,0.0021,7,VND3
cap131.txt,FEASIBLE,798379.4875,0.0032,14,VND3
cap132.txt,FEASIBLE,852762.8750,0.0030,11,VND3
cap133.txt,FEASIBLE,893076.7125,0.0032,8,VND3
cap134.txt,FEASIBLE,934586.9750,0.0013,4,VND3
cap51.txt,FEASIBLE,1253548.7625,0.0029,7,VND3
