File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,FEASIBLE,1207162.7625,0.0021,12,Move5
cap42.txt,FEASIBLE,1287760.3875,0.0026,10,Move5
cap43.txt,FEASIBLE,1307518.2250,0.0048,10,Move5
cap44.txt,FEASIBLE,1485799.4250,0.0017,9,Move5
cap61.txt,FEASIBLE,943695.7250,0.0010,10,Move5
cap62.txt,FEASIBLE,1048529.1500,0.0025,6,Move5
cap63.txt,FEASIBLE,1080639.3750,0.0039,6,Move5
cap64.txt,FEASIBLE,1214240.3750,0.0038,5,Move5
cap71.txt,FEASIBLE,953529.0125,0.0010,9,Move5
cap72.txt,FEASIBLE,1003078.4000,0.0003,5,Move5
cap73.txt,FEASIBLE,1023841.3750,0.0002,3,Move5
cap74.txt,FEASIBLE,1038841.3750,0.0002,3,Move5
cap81.txt,FEASIBLE,960444.3125,0.0021,16,Move5
cap82.txt,FEASIBLE,1064859.3750,0.0015,12,Move5
cap83.txt,FEASIBLE,1144638.8125,0.0014,11,Move5
cap84.txt,FEASIBLE,1277282.5500,0.0025,10,Move5
cap91.txt,FEASIBLE,813466.5500,0.0004,13,Move5
cap92.txt,FEASIBLE,887550.8625,0.0013,7,Move5
cap93.txt,FEASIBLE,954894.4000,0.0007,6,Move5
cap94.txt,FEASIBLE,1031350.4250,0.0010,5,Move5
cap101.txt,FEASIBLE,813466.5500,0.0004,13,Move5
cap102.txt,FEASIBLE,871406.3625,0.0003,7,Move5
cap103.txt,FEASIBLE,920972.9625,0.0002,4,Move5
cap104.txt,FEASIBLE,951164.3500,0.0002,3,Move5
cap111.txt,FEASIBLE,961895.4375,0.0020,16,Move5
cap112.txt,FEASIBLE,1050290.1750,0.0030,13,Move5
cap113.txt,FEASIBLE,1144638.8125,0.0014,11,Move5
cap114.txt,FEASIBLE,1258078.2250,0.0018,10,Move5
cap121.txt,FEASIBLE,813466.5500,0.0004,13,Move5
cap122.txt,FEASIBLE,887550.8625,0.0013,7,Move5
cap123.txt,FEASIBLE,954894.4000,0.0007,6,Move5
cap124.txt,FEASIBLE,1031350.4250,0.0010,5,Move5
cap131.txt,FEASIBLE,813466.5500,0.0004,13,Move5
cap132.txt,FEASIBLE,871406.3625,0.0003,7,Move5
cap133.txt,FEASIBLE,920972.9625,0.0002,4,Move5
cap134.txt,FEASIBLE,951164.3500,0.0002,3,Move5
cap51.txt,FEASIBLE,1347670.6125,0.0028,6,Move5
