File,MILP_Obj,MILP_Time,MILP_Fac,MILP_Status,Greedy1_Obj,Greedy1_Time,Greedy1_Fac,Greedy1_Status,Greedy2_Obj,Greedy2_Time,Greedy2_Fac,Greedy2_Status,Move1_Obj,Move1_Time,Move1_Fac,Move1_Status,Move2_Obj,Move2_Time,Move2_Fac,Move2_Status,Move3_Obj,Move3_Time,Move3_Fac,Move3_Status,Move4_Obj,Move4_Time,Move4_Fac,Move4_Status,Move5_Obj,Move5_Time,Move5_Fac,Move5_Status,VND3_Obj,VND3_Time,VND3_Fac,VND3_Status,VND4_Obj,VND4_Time,VND4_Fac,VND4_Status,VND_Obj,VND_Time,VND_Fac,VND_Status
cap41.txt,1189319.4625,0.1950,12,OPTIMAL,1476736.2500,0.0012,10,FEASIBLE,1220916.4125,0.0001,12,FEASIBLE,1210217.4750,0.0004,12,FEASIBLE,1219963.2625,0.0003,11,FEASIBLE,1215180.4000,0.0001,13,FEASIBLE,1219198.2125,0.0009,12,FEASIBLE,1207162.7625,0.0021,12,FEASIBLE,1191275.7375,0.0017,13,FEASIBLE,1191275.7375,0.0021,13,FEASIBLE,1191275.7375,0.0023,13,FEASIBLE
cap42.txt,1241277.4625,0.2370,11,OPTIMAL,1521736.2500,0.0012,10,FEASIBLE,1322728.6500,0.0001,10,FEASIBLE,1296917.9125,0.0008,10,FEASIBLE,1322728.6500,0.0001,10,FEASIBLE,1301690.5750,0.0001,12,FEASIBLE,1306740.7250,0.0019,10,FEASIBLE,1287760.3875,0.0026,10,FEASIBLE,1251550.6750,0.0017,11,FEASIBLE,1251550.6750,0.0022,11,FEASIBLE,1251550.6750,0.0025,11,FEASIBLE
cap43.txt,1291277.4625,0.2400,11,OPTIMAL,1566736.2500,0.0014,10,FEASIBLE,1379538.1250,0.0001,10,FEASIBLE,1309451.5750,0.0007,10,FEASIBLE,1379538.1250,0.0001,10,FEASIBLE,1360971.7000,0.0001,11,FEASIBLE,1347870.5875,0.0011,10,FEASIBLE,1307518.2250,0.0048,10,FEASIBLE,1300377.9750,0.0019,11,FEASIBLE,1300377.9750,0.0025,11,FEASIBLE,1300377.9750,0.0025,11,FEASIBLE
cap44.txt,1354962.7750,0.8920,9,OPTIMAL,1634236.2500,0.0013,10,FEASIBLE,1506933.2625,0.0001,9,FEASIBLE,1506933.2625,0.0001,9,FEASIBLE,1506933.2625,0.0001,9,FEASIBLE,1437634.1000,0.0001,11,FEASIBLE,1470175.0375,0.0016,9,FEASIBLE,1485799.4250,0.0017,9,FEASIBLE,1389123.9125,0.0022,10,FEASIBLE,1389123.9125,0.0027,10,FEASIBLE,1378485.5000,0.0059,10,FEASIBLE
cap61.txt,932615.7500,0.0280,11,OPTIMAL,1106816.9250,0.0012,5,FEASIBLE,951373.4250,0.0001,10,FEASIBLE,943476.5250,0.0004,10,FEASIBLE,951373.4250,0.0001,10,FEASIBLE,943671.2875,0.0001,12,FEASIBLE,949655.2250,0.0011,10,FEASIBLE,943695.7250,0.0010,10,FEASIBLE,934199.1375,0.0010,11,FEASIBLE,934199.1375,0.0015,11,FEASIBLE,934199.1375,0.0017,11,FEASIBLE
cap62.txt,977799.4000,0.0280,9,OPTIMAL,1126816.9250,0.0012,5,FEASIBLE,1067595.0125,0.0001,6,FEASIBLE,1067595.0125,0.0001,6,FEASIBLE,1067595.0125,0.0001,6,FEASIBLE,1002190.1250,0.0002,11,FEASIBLE,1059967.7875,0.0014,6,FEASIBLE,1048529.1500,0.0025,6,FEASIBLE,981649.3500,0.0033,9,FEASIBLE,977799.4000,0.0051,9,FEASIBLE,977799.4000,0.0054,9,FEASIBLE
cap63.txt,1014099.6125,0.0610,8,OPTIMAL,1146816.9250,0.0012,5,FEASIBLE,1148294.1250,0.0001,6,FEASIBLE,1112069.3125,0.0008,6,FEASIBLE,1148294.1250,0.0001,6,FEASIBLE,1070945.0500,0.0002,9,FEASIBLE,1093076.5000,0.0021,6,FEASIBLE,1080639.3750,0.0039,6,FEASIBLE,1017711.6000,0.0032,8,FEASIBLE,1014099.6125,0.0058,8,FEASIBLE,1014099.6125,0.0052,8,FEASIBLE
cap64.txt,1053197.4375,0.1360,6,OPTIMAL,1176816.9250,0.0014,5,FEASIBLE,1268934.5500,0.0001,5,FEASIBLE,1268934.5500,0.0001,5,FEASIBLE,1268934.5500,0.0001,5,FEASIBLE,1107745.5750,0.0002,7,FEASIBLE,1154004.1750,0.0042,5,FEASIBLE,1214240.3750,0.0038,5,FEASIBLE,1069660.9375,0.0023,6,FEASIBLE,1059264.8500,0.0060,6,FEASIBLE,1059264.8500,0.0044,6,FEASIBLE
cap71.txt,932615.7500,0.0210,11,OPTIMAL,1248142.9000,0.0010,1,FEASIBLE,961206.7125,0.0001,9,FEASIBLE,953309.8125,0.0004,9,FEASIBLE,961206.7125,0.0001,9,FEASIBLE,943671.2875,0.0001,12,FEASIBLE,959488.5125,0.0013,9,FEASIBLE,953529.0125,0.0010,9,FEASIBLE,934199.1375,0.0012,11,FEASIBLE,934199.1375,0.0023,11,FEASIBLE,934199.1375,0.0022,11,FEASIBLE
cap72.txt,977799.4000,0.0220,9,OPTIMAL,1248142.9000,0.0010,1,FEASIBLE,1003078.4000,0.0001,5,FEASIBLE,1003078.4000,0.0001,5,FEASIBLE,1003078.4000,0.0001,5,FEASIBLE,977799.4000,0.0002,9,FEASIBLE,998136.0500,0.0015,5,FEASIBLE,1003078.4000,0.0003,5,FEASIBLE,977799.4000,0.0011,9,FEASIBLE,977799.4000,0.0025,9,FEASIBLE,977799.4000,0.0020,9,FEASIBLE
cap73.txt,1010641.4500,0.0200,5,OPTIMAL,1248142.9000,0.0010,1,FEASIBLE,1023841.3750,0.0001,3,FEASIBLE,1023841.3750,0.0001,3,FEASIBLE,1023841.3750,0.0001,3,FEASIBLE,1012476.9750,0.0001,4,FEASIBLE,1023841.3750,0.0008,3,FEASIBLE,1023841.3750,0.0002,3,FEASIBLE,1012476.9750,0.0005,4,FEASIBLE,1012476.9750,0.0017,4,FEASIBLE,1012476.9750,0.0015,4,FEASIBLE
cap74.txt,1034976.9750,0.0200,4,OPTIMAL,1248142.9000,0.0010,1,FEASIBLE,1038841.3750,0.0001,3,FEASIBLE,1038841.3750,0.0001,3,FEASIBLE,1038841.3750,0.0001,3,FEASIBLE,1034976.9750,0.0001,4,FEASIBLE,1038841.3750,0.0008,3,FEASIBLE,1038841.3750,0.0002,3,FEASIBLE,1034976.9750,0.0005,4,FEASIBLE,1034976.9750,0.0017,4,FEASIBLE,1034976.9750,0.0014,4,FEASIBLE
cap81.txt,940182.3375,0.0810,15,OPTIMAL,1101466.7000,0.0026,10,FEASIBLE,975337.2625,0.0001,16,FEASIBLE,963831.3625,0.0007,16,FEASIBLE,973450.2625,0.0005,14,FEASIBLE,963433.5125,0.0001,18,FEASIBLE,964082.1750,0.0046,16,FEASIBLE,960444.3125,0.0021,16,FEASIBLE,945725.1750,0.0028,15,FEASIBLE,942678.5875,0.0080,15,FEASIBLE,942678.5875,0.0057,15,FEASIBLE
cap82.txt,1002637.5000,0.1100,13,OPTIMAL,1146466.7000,0.0028,10,FEASIBLE,1088806.9125,0.0001,12,FEASIBLE,1085401.7875,0.0003,11,FEASIBLE,1085401.7875,0.0002,11,FEASIBLE,1048161.0500,0.0002,16,FEASIBLE,1065394.7500,0.0069,12,FEASIBLE,1064859.3750,0.0015,12,FEASIBLE,1018215.0375,0.0039,13,FEASIBLE,1012642.5500,0.0134,13,FEASIBLE,1002637.5000,0.0131,13,FEASIBLE
cap83.txt,1059244.2000,0.2220,12,OPTIMAL,1191466.7000,0.0025,10,FEASIBLE,1168586.3500,0.0001,11,FEASIBLE,1136560.3500,0.0006,10,FEASIBLE,1160181.2250,0.0002,10,FEASIBLE,1129610.1500,0.0003,14,FEASIBLE,1149081.3500,0.0071,11,FEASIBLE,1144638.8125,0.0014,11,FEASIBLE,1076486.1500,0.0034,11,FEASIBLE,1071618.6750,0.0097,11,FEASIBLE,1071618.6750,0.0068,11,FEASIBLE
cap84.txt,1139237.1250,0.9150,11,OPTIMAL,1258966.7000,0.0026,10,FEASIBLE,1319663.0375,0.0001,10,FEASIBLE,1290899.1375,0.0006,10,FEASIBLE,1319663.0375,0.0001,10,FEASIBLE,1235146.9250,0.0003,14,FEASIBLE,1253053.2875,0.0074,10,FEASIBLE,1277282.5500,0.0025,10,FEASIBLE,1160315.9375,0.0048,12,FEASIBLE,1160315.9375,0.0092,12,FEASIBLE,1160315.9375,0.0065,12,FEASIBLE
cap91.txt,796648.4375,0.0780,15,OPTIMAL,1034348.3250,0.0022,5,FEASIBLE,813466.5500,0.0001,13,FEASIBLE,813466.5500,0.0002,13,FEASIBLE,813466.5500,0.0001,13,FEASIBLE,805261.0250,0.0002,16,FEASIBLE,811748.3500,0.0028,13,FEASIBLE,813466.5500,0.0004,13,FEASIBLE,802191.2750,0.0016,15,FEASIBLE,799144.6875,0.0068,15,FEASIBLE,799144.6875,0.0051,15,FEASIBLE
cap92.txt,858109.3250,0.0750,12,OPTIMAL,1054348.3250,0.0023,5,FEASIBLE,894669.7125,0.0002,7,FEASIBLE,894669.7125,0.0002,7,FEASIBLE,894669.7125,0.0001,7,FEASIBLE,868481.0250,0.0003,11,FEASIBLE,894669.7125,0.0016,7,FEASIBLE,887550.8625,0.0013,7,FEASIBLE,858697.2500,0.0031,11,FEASIBLE,858697.2500,0.0068,11,FEASIBLE,858697.2500,0.0047,11,FEASIBLE
cap93.txt,900760.1125,0.1700,9,OPTIMAL,1074348.3250,0.0023,5,FEASIBLE,964888.5375,0.0002,6,FEASIBLE,957346.7750,0.0005,6,FEASIBLE,964888.5375,0.0001,6,FEASIBLE,921842.3250,0.0004,9,FEASIBLE,950954.0375,0.0048,6,FEASIBLE,954894.4000,0.0007,6,FEASIBLE,915156.3875,0.0018,8,FEASIBLE,915156.3875,0.0050,8,FEASIBLE,913008.0125,0.0064,8,FEASIBLE
cap94.txt,950608.4250,0.3620,7,OPTIMAL,1104348.3250,0.0023,5,FEASIBLE,1046787.1750,0.0002,5,FEASIBLE,1043431.0750,0.0004,5,FEASIBLE,1046787.1750,0.0001,5,FEASIBLE,969093.8625,0.0003,7,FEASIBLE,1001867.5125,0.0063,5,FEASIBLE,1031350.4250,0.0010,5,FEASIBLE,964590.1750,0.0017,7,FEASIBLE,964590.1750,0.0049,7,FEASIBLE,962441.8000,0.0064,7,FEASIBLE
cap101.txt,796648.4375,0.0520,15,OPTIMAL,1248142.9000,0.0020,1,FEASIBLE,813466.5500,0.0002,13,FEASIBLE,813466.5500,0.0002,13,FEASIBLE,813466.5500,0.0001,13,FEASIBLE,805261.0250,0.0002,16,FEASIBLE,811748.3500,0.0028,13,FEASIBLE,813466.5500,0.0004,13,FEASIBLE,802191.2750,0.0014,15,FEASIBLE,799144.6875,0.0071,15,FEASIBLE,799144.6875,0.0049,15,FEASIBLE
cap102.txt,854704.2000,0.0500,11,OPTIMAL,1248142.9000,0.0020,1,FEASIBLE,871406.3625,0.0002,7,FEASIBLE,871406.3625,0.0002,7,FEASIBLE,871406.3625,0.0001,7,FEASIBLE,855971.7500,0.0004,11,FEASIBLE,870138.8125,0.0035,7,FEASIBLE,871406.3625,0.0003,7,FEASIBLE,855971.7500,0.0016,11,FEASIBLE,854704.2000,0.0072,11,FEASIBLE,854704.2000,0.0054,11,FEASIBLE
cap103.txt,893782.1125,0.0520,8,OPTIMAL,1248142.9000,0.0019,1,FEASIBLE,920972.9625,0.0002,4,FEASIBLE,920972.9625,0.0002,4,FEASIBLE,920972.9625,0.0001,4,FEASIBLE,894008.1375,0.0004,7,FEASIBLE,910112.7250,0.0048,4,FEASIBLE,920972.9625,0.0002,4,FEASIBLE,894008.1375,0.0014,7,FEASIBLE,894008.1375,0.0045,7,FEASIBLE,894008.1375,0.0032,7,FEASIBLE
cap104.txt,928941.7500,0.0490,4,OPTIMAL,1248142.9000,0.0020,1,FEASIBLE,951164.3500,0.0002,3,FEASIBLE,951164.3500,0.0002,3,FEASIBLE,951164.3500,0.0001,3,FEASIBLE,934586.9750,0.0002,4,FEASIBLE,946179.2250,0.0032,3,FEASIBLE,951164.3500,0.0002,3,FEASIBLE,934586.9750,0.0007,4,FEASIBLE,928941.7500,0.0064,4,FEASIBLE,928941.7500,0.0046,4,FEASIBLE
cap111.txt,936973.4625,0.2730,15,OPTIMAL,1101466.7000,0.0083,10,FEASIBLE,975169.5875,0.0003,16,FEASIBLE,965749.8875,0.0013,16,FEASIBLE,973282.5875,0.0005,14,FEASIBLE,959905.2500,0.0004,18,FEASIBLE,962523.2375,0.0407,16,FEASIBLE,961895.4375,0.0020,16,FEASIBLE,947643.7000,0.0043,15,FEASIBLE,939469.7125,0.0456,15,FEASIBLE,939469.7125,0.0318,15,FEASIBLE
cap112.txt,999428.6250,0.3910,13,OPTIMAL,1146466.7000,0.0085,10,FEASIBLE,1057697.3375,0.0002,13,FEASIBLE,1050879.7875,0.0013,12,FEASIBLE,1047759.7625,0.0004,11,FEASIBLE,1035921.4125,0.0007,17,FEASIBLE,1035268.3875,0.0360,13,FEASIBLE,1050290.1750,0.0030,13,FEASIBLE,1007344.7750,0.0084,13,FEASIBLE,1007344.7750,0.0211,13,FEASIBLE,1006879.3875,0.0279,13,FEASIBLE
cap113.txt,1055448.5625,0.5470,12,OPTIMAL,1191466.7000,0.0083,10,FEASIBLE,1168586.3500,0.0002,11,FEASIBLE,1136560.3500,0.0012,10,FEASIBLE,1160181.2250,0.0002,10,FEASIBLE,1120288.4125,0.0007,14,FEASIBLE,1116132.7500,0.0775,11,FEASIBLE,1144638.8125,0.0014,11,FEASIBLE,1081942.3125,0.0063,11,FEASIBLE,1074710.7625,0.0272,11,FEASIBLE,1074710.7625,0.0186,11,FEASIBLE
cap114.txt,1134002.6625,1.1970,11,OPTIMAL,1258966.7000,0.0086,10,FEASIBLE,1301399.2250,0.0002,10,FEASIBLE,1275728.5250,0.0009,10,FEASIBLE,1301399.2250,0.0001,10,FEASIBLE,1232542.1000,0.0010,14,FEASIBLE,1203983.3000,0.0681,10,FEASIBLE,1258078.2250,0.0018,10,FEASIBLE,1153368.4750,0.0084,11,FEASIBLE,1145669.7500,0.0389,11,FEASIBLE,1144370.4875,0.0402,11,FEASIBLE
cap121.txt,793439.5625,0.1640,15,OPTIMAL,1034348.3250,0.0077,5,FEASIBLE,813466.5500,0.0002,13,FEASIBLE,813466.5500,0.0003,13,FEASIBLE,813466.5500,0.0002,13,FEASIBLE,801016.1625,0.0006,16,FEASIBLE,810189.4125,0.0297,13,FEASIBLE,813466.5500,0.0004,13,FEASIBLE,798379.4875,0.0032,14,FEASIBLE,798379.4875,0.0135,14,FEASIBLE,798379.4875,0.0124,14,FEASIBLE
