File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,FEASIBLE,1219198.2125,0.0009,12,Move4
cap42.txt,FEASIBLE,1306740.7250,0.0019,10,Move4
cap43.txt,FEASIBLE,1347870.5875,0.0011,10,Move4
cap44.txt,FEASIBLE,1470175.0375,0.0016,9,Move4
cap61.txt,FEASIBLE,949655.2250,0.0011,10,Move4
cap62.txt,FEASIBLE,1059967.7875,0.0014,6,Move4
cap63.txt,FEASIBLE,1093076.5000,0.0021,6,Move4
cap64.txt,FEASIBLE,1154004.1750,0.0042,5,Move4
cap71.txt,FEASIBLE,959488.5125,0.0013,9,Move4
cap72.txt,FEASIBLE,998136.0500,0.0015,5,Move4
cap73.txt,FEASIBLE,1023841.3750,0.0008,3,Move4
cap74.txt,FEASIBLE,1038841.3750,0.0008,3,Move4
cap81.txt,FEASIBLE,964082.1750,0.0046,16,Move4
cap82.txt,FEASIBLE,1065394.7500,0.0069,12,Move4
cap83.txt,FEASIBLE,1149081.3500,0.0071,11,Move4
cap84.txt,FEASIBLE,1253053.2875,0.0074,10,Move4
cap91.txt,FEASIBLE,811748.3500,0.0028,13,Move4
cap92.txt,FEASIBLE,894669.7125,0.0016,7,Move4
cap93.txt,FEASIBLE,950954.0375,0.0048,6,Move4
cap94.txt,FEASIBLE,1001867.5125,0.0063,5,Move4
cap101.txt,FEASIBLE,811748.3500,0.0028,13,Move4
cap102.txt,FEASIBLE,870138.8125,0.0035,7,Move4
cap103.txt,FEASIBLE,910112.7250,0.0048,4,Move4
cap104.txt,FEASIBLE,946179.2250,0.0032,3,Move4
cap111.txt,FEASIBLE,962523.2375,0.0407,16,Move4
cap112.txt,FEASIBLE,1035268.3875,0.0360,13,Move4
cap113.txt,FEASIBLE,1116132.7500,0.0775,11,Move4
cap114.txt,FEASIBLE,1203983.3000,0.0681,10,Move4
cap121.txt,FEASIBLE,810189.4125,0.0297,13,Move4
cap122.txt,FEASIBLE,894669.7125,0.0071,7,Move4
cap123.txt,FEASIBLE,940024.5750,0.0349,6,Move4
cap124.txt,FEASIBLE,994407.9000,0.0511,5,Move4
cap131.txt,FEASIBLE,810189.4125,0.0328,13,Move4
cap132.txt,FEASIBLE,870138.8125,0.0161,7,Move4
cap133.txt,FEASIBLE,910112.7250,0.0235,4,Move4
cap134.txt,FEASIBLE,946179.2250,0.0151,3,Move4
cap51.txt,FEASIBLE,1353284.7750,0.0028,6,Move4
